"","id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"29313","tVW5rmCDOcxGqmzB00aXlQ==","Villa Urquiza",1,1,39,33,111000,"Departamento"
"29314","5GhnUU28fARhjmi3IWpX3Q==","Villa Urquiza",4,2,140,130,520000,"Departamento"
"29315","UTAb8H8WOXMci7BO4de5ow==","Villa Urquiza",1,1,38,32,117000,"Departamento"
"29316","Ir9HehLMc3rqZX1V8iSjeA==","Parque Patricios",1,1,34,28,78500,"Departamento"
"29317","7ieky5XuCNGUec5wYGWz2g==","Villa del Parque",1,1,41,37,90000,"Departamento"
"29318","SeF31epZJNwcIn8gQXYWWw==","Villa del Parque",2,1,50,40,155000,"Departamento"
"29319","DH87/r/INWI8Hq3reESDqw==","Villa del Parque",1,1,36,32,85000,"Departamento"
"29320","l1Jh5vfsKgKx8ZMX5XWQ+A==","Parque Centenario",1,1,35,35,85000,"Departamento"
"29321","0hrYVJJhHH4J57D7YoK0kw==","Parque Centenario",1,1,35,32,98000,"Departamento"
"29322","iU17PbDCc/kRJQCQPS+ZMA==","Parque Centenario",1,1,43,40,105000,"Departamento"
"29323","XGRt8u9ztwcEKR5uHTj2dQ==","Almagro",2,1,30,26,78000,"PH"
"29324","ljUmaAraGeK4AevD268TQA==","Palermo",2,1,40,40,130000,"PH"
"29325","ibhoWEwK5594NSL9E8h5qA==","Congreso",2,1,74,47,117000,"PH"
"29326","H6AbFJc56VTVvutj6dk7AA==","Balvanera",2,1,30,26,78000,"PH"
"29327","jIaVXHk/ODbWR/1COR9vDA==","Balvanera",2,1,74,47,117000,"PH"
"29328","gUzFA+7bAAQv/BpO1xic/A==","Agronomía",2,1,80,47,139000,"PH"
"29329","0OBHhB3KXdLakkskeIPmHA==","Villa General Mitre",2,1,64,64,130000,"PH"
"29330","axZW7Zm9gw9VWqSd67zNcA==","Villa General Mitre",2,1,53,44,159900,"PH"
"29331","pZhxXurknQGe2LH+I7VZiw==","Once",2,1,35,35,79800,"Departamento"
"29332","0ccGIET8SopX5TgTUi0JpQ==","Boedo",2,1,52,35,145000,"Departamento"
"29333","lQ9nY7tOjWMt/uL9bKsFSg==","Flores",2,2,91,85,169000,"Departamento"
"29334","ommNUYS6XmLCBsU78PN1CA==","Flores",2,1,67,62,125000,"Departamento"
"29335","Xk8rk9xI+dwo0Hqo8yObBw==","Nuñez",2,1,52,43,161000,"Departamento"
"29336","6GZw0HXqLVQUOzqkxu0D1w==","Nuñez",2,1,47,43,152500,"Departamento"
"29337","BJOMnxaxtcEA7azACx1n9A==","Nuñez",2,1,66,52,194000,"Departamento"
"29338","J9B0e0bqEb2A5IdZYDkISw==","Nuñez",2,1,62,54,185000,"Departamento"
"29339","hHQmbUL5p3YwOxf4ec2fSw==","Nuñez",1,1,49,35,126500,"Departamento"
"29340","Gm6axfB4Xk2ioA3uG/fCzQ==","Nuñez",2,1,38,34,126500,"Departamento"
"29341","wYZlX785ocKjKRTElS8k+A==","Nuñez",2,1,66,52,194000,"Departamento"
"29342","mLgOhflyrixFXzf155gA1w==","Nuñez",2,1,86,51,233000,"Departamento"
"29343","JzB0+5F64TrixsWiYJZxfA==","Retiro",2,1,57,53,143000,"Departamento"
"29344","K6G9JD3C/vmVekv6wHS4Eg==","Retiro",1,1,28,28,105000,"Departamento"
"29345","HHFC1DMZxY+yfhpQ+IBqwA==","Almagro",2,1,56,47,137000,"Departamento"
"29346","iqreycikoAG5GNFpb6gWKQ==","Almagro",2,1,35,33,87900,"Departamento"
"29347","tJuk1kSonyJ8Wy3oSQx7kw==","Almagro",2,1,30,26,78000,"Departamento"
"29348","q3nEKYUFZNBM4FNOboTZPQ==","Almagro",2,1,30,30,83000,"Departamento"
"29349","Zz9M+yUP0SRW0S8I7K3wAw==","Almagro",2,1,40,37,97000,"Departamento"
"29350","Qe+dgdxO4QvuMq/gJc4HJQ==","Almagro",2,1,48,32,92000,"Departamento"
"29351","lSbGJm9SWw2AEYzfXwFEiQ==","Almagro",2,1,65,48,167500,"Departamento"
"29352","923hUNEszZti5NSVymQ1XA==","Almagro",2,1,41,41,90000,"Departamento"
"29353","+ZNAZuPt+fxQhVsq+RvSHw==","Almagro",2,1,31,30,69900,"Departamento"
"29354","LhspBP5+749SUYWWCQ/OEg==","Almagro",2,1,40,40,99500,"Departamento"
